City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,East London,ZA,-33.0153,27.9116,62.6,88,0,3.44,clear sky
80,Anadyr,RU,64.75,177.4833,-7.01,77,75,11.18,light snow
81,Whitehorse,CA,60.7161,-135.0538,18.0,57,90,6.91,overcast clouds
82,Airai,TL,-8.9266,125.4092,71.44,89,66,2.44,broken clouds
83,Bouna,CI,9.2667,-3.0,77.86,71,56,9.89,broken clouds
84,Najran,SA,17.4924,44.1277,57.2,44,0,1.07,clear sky
85,Pacifica,US,37.6138,-122.4869,50.0,76,40,9.22,scattered clouds
86,Nikolskoye,RU,59.7035,30.7861,19.4,73,90,15.66,snow
87,Katav-Ivanovsk,RU,54.7531,58.1956,9.73,92,100,6.13,overcast clouds
88,Hasaki,JP,35.7333,140.8333,46.4,100,75,11.5,mist
89,Puerto Ayora,EC,-0.7393,-90.3518,79.0,92,70,5.01,broken clouds
90,Menongue,AO,-14.6585,17.691,58.91,81,22,1.95,few clouds
91,Yaqui,MX,27.3667,-110.1667,56.77,53,0,2.15,clear sky
92,Port Alfred,ZA,-33.5906,26.891,66.99,89,36,1.01,scattered clouds
93,Mbalmayo,CM,3.5167,11.5,73.4,94,77,3.44,broken clouds
94,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,75,16.11,light snow
95,Salur,IN,18.5333,83.2167,85.75,37,0,4.23,clear sky
96,Nova Londrina,BR,-22.7658,-52.985,70.32,88,0,1.79,clear sky
97,Baracoa,CU,20.3467,-74.4958,74.82,80,9,7.74,clear sky
98,Tambopata,PE,-12.7333,-69.1833,72.64,95,25,1.52,scattered clouds
99,Ceplenita,RO,47.3833,27.0167,30.2,59,0,3.44,clear sky
100,Jamestown,US,42.097,-79.2353,17.01,95,1,1.72,clear sky
101,Shasta Lake,US,40.6804,-122.3708,51.8,46,1,3.44,clear sky
102,Severo-Kurilsk,RU,50.6789,156.125,17.33,91,99,27.83,light snow
103,Kikwit,CD,-5.041,18.8162,69.87,87,100,0.27,overcast clouds
104,Dikson,RU,73.5069,80.5464,-17.97,88,100,6.98,overcast clouds
105,Bowen,AU,-20.0167,148.2333,86.0,58,40,12.66,scattered clouds
106,Mount Gambier,AU,-37.8333,140.7667,64.4,68,90,12.66,overcast clouds
107,Yellowknife,CA,62.456,-114.3525,0.0,71,20,4.61,few clouds
108,Palmer,US,42.1584,-72.3287,26.6,46,1,5.75,clear sky
109,Lisakovsk,KZ,52.5369,62.4936,-0.17,90,25,8.88,scattered clouds
110,Provideniya,RU,64.3833,-173.3,27.75,97,100,10.87,snow
111,Dingle,PH,10.9995,122.6711,84.34,67,100,13.8,light rain
112,Vanavara,RU,60.34,102.2797,15.01,94,100,12.73,overcast clouds
113,Pevek,RU,69.7008,170.3133,-12.44,90,100,17.63,light snow
114,Ipora,BR,-16.4419,-51.1178,67.68,97,100,1.21,moderate rain
115,Shakawe,BW,-18.3667,21.85,63.41,61,0,1.74,clear sky
116,Wum,CM,6.3833,10.0667,64.51,52,73,2.35,broken clouds
117,Caohe,CN,30.2297,115.4335,53.01,64,85,6.13,light rain
118,Kloulklubed,PW,7.0419,134.2556,78.8,89,90,13.8,heavy intensity rain
119,Dunedin,NZ,-45.8742,170.5036,55.99,66,99,17.0,overcast clouds
120,Kapaa,US,22.0752,-159.319,73.4,73,20,14.97,light rain
121,Mehamn,NO,71.0357,27.8492,22.62,95,97,8.9,snow
122,Naze,JP,28.3667,129.4833,66.2,94,75,18.41,broken clouds
123,Barrow,US,71.2906,-156.7887,-9.4,70,90,21.85,snow
124,Nizhniy Ingash,RU,56.2,96.53,18.79,94,39,4.41,scattered clouds
125,Petrosani,RO,45.4167,23.3667,19.4,86,0,2.1,clear sky
126,Peru,US,40.7537,-86.0689,37.0,60,1,8.05,clear sky
127,Fort Walton Beach,US,30.4058,-86.6188,55.99,81,1,8.1,clear sky
128,Concepcion Del Oro,MX,24.6333,-101.4167,50.27,50,0,4.7,clear sky
129,Iqaluit,CA,63.7506,-68.5145,-0.4,71,90,2.62,light snow
130,Constitucion,CL,-35.3333,-72.4167,63.36,78,0,11.83,clear sky
131,Puerto Carreno,CO,6.189,-67.4859,81.64,54,84,6.4,broken clouds
132,Cidreira,BR,-30.1811,-50.2056,73.47,78,1,12.39,clear sky
133,Leningradskiy,RU,69.3833,178.4167,-12.59,86,99,9.42,overcast clouds
134,Bandarbeyla,SO,9.4942,50.8122,75.87,79,75,10.31,broken clouds
135,Lebu,CL,-37.6167,-73.65,58.42,82,59,15.93,broken clouds
136,Mahibadhoo,MV,3.7833,72.9667,83.26,68,47,8.23,scattered clouds
137,Shimoda,JP,34.6667,138.95,48.2,93,75,16.11,broken clouds
138,Koslan,RU,63.4564,48.8989,-9.76,90,94,6.62,overcast clouds
139,Notse,TG,6.95,1.1667,78.44,81,77,6.24,broken clouds
140,Yar-Sale,RU,66.8333,70.8333,-24.7,86,100,10.69,overcast clouds
141,Bredasdorp,ZA,-34.5322,20.0403,60.8,82,100,4.61,overcast clouds
142,Itarema,BR,-2.9248,-39.9167,77.88,84,100,7.85,overcast clouds
143,Begoro,GH,6.3871,-0.3774,72.91,95,92,7.02,overcast clouds
144,Chimore,BO,-16.9833,-65.1333,71.8,86,2,2.37,clear sky
145,Portland,US,45.5234,-122.6762,43.0,81,90,11.5,overcast clouds
146,Ponta Do Sol,PT,32.6667,-17.1,57.99,72,56,1.01,broken clouds
147,Davenda,RU,53.5556,119.317,21.99,94,100,5.44,overcast clouds
148,Bahir Dar,ET,11.5936,37.3908,66.96,32,2,2.68,clear sky
149,Gorontalo,ID,0.5412,123.0595,88.34,53,100,3.22,overcast clouds
150,Hecun,CN,36.5333,114.1111,52.16,45,100,7.45,overcast clouds
151,Laguna De Perlas,NI,12.3429,-83.6712,77.29,78,16,14.94,few clouds
152,Thompson,CA,55.7435,-97.8558,28.4,74,1,2.3,clear sky
153,Ishimbay,RU,53.4545,56.0415,12.74,95,100,20.78,light snow
154,Aykino,RU,62.2248,49.9922,-5.58,92,100,6.85,overcast clouds
155,College,US,64.8569,-147.8028,14.0,79,75,2.01,broken clouds
156,Boyolangu,ID,-8.1181,111.8935,85.03,67,60,1.66,broken clouds
157,Chicama,PE,-7.8447,-79.1469,75.34,72,100,5.66,overcast clouds
158,Vinces,EC,-1.55,-79.7333,77.0,94,90,3.44,heavy intensity rain
159,Bambous Virieux,MU,-20.3428,57.7575,78.01,94,40,4.61,scattered clouds
160,Araouane,ML,18.9048,-3.5265,72.88,21,91,11.59,overcast clouds
161,Mastic Beach,US,40.7668,-72.8521,30.99,51,1,8.05,clear sky
162,Flinders,AU,-34.5833,150.8552,84.0,67,100,4.0,overcast clouds
163,Saint-Augustin,CA,51.226,-58.6502,11.1,91,18,8.68,few clouds
164,Sinnar,SD,13.5691,33.5672,71.53,26,54,9.15,broken clouds
165,Hami,CN,42.8,93.45,51.03,39,100,7.16,overcast clouds
166,Atar,MR,20.5169,-13.0499,60.39,40,0,10.8,clear sky
167,Champerico,GT,14.3,-91.9167,69.01,96,1,6.04,clear sky
168,Kaliua,TZ,-5.0606,31.7936,63.77,97,100,1.36,overcast clouds
169,Ribeira Grande,PT,38.5167,-28.7,60.21,94,77,10.76,broken clouds
170,Palauig,PH,15.435,119.9045,84.27,53,21,6.06,few clouds
171,Cabo San Lucas,MX,22.8909,-109.9124,66.99,77,1,3.44,clear sky
172,Korla,CN,41.7597,86.1469,49.44,48,88,0.49,overcast clouds
