City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,Boa Vista,BR,86.0,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
202,Nieves,PH,78.8,broken clouds,15.3274,120.9485,Bill's Inn
210,Tutoia,BR,80.35,light rain,-2.7619,-42.2744,Pousada Guará's
215,Bandarbeyla,SO,76.1,broken clouds,9.4942,50.8122,JABIR HOTEL
216,Sabha,LY,73.89,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
221,Eyl,SO,74.21,broken clouds,7.9803,49.8164,Amiin Hotel
223,Flinders,AU,79.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
227,Altamira,BR,73.67,overcast clouds,-3.2033,-52.2064,Requinte Hotel
230,Hithadhoo,MV,83.55,few clouds,-0.6,73.0833,Scoop Guest House
231,Hervey Bay,AU,86.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
232,Ocho Rios,JM,78.01,light rain,18.4025,-77.1048,Rooms Ocho Rios Hotel
235,Waddan,LY,72.07,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
236,Richards Bay,ZA,76.59,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
240,Kathu,TH,77.0,few clouds,7.9178,98.3332,Novotel Phuket Resort
243,Yeppoon,AU,80.6,scattered clouds,-23.1333,150.7333,Villa Mar Colina
244,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Siesta Hotel
251,Cayenne,GF,80.01,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
253,Swamimalai,IN,72.93,few clouds,10.95,79.3333,Paradise Resort
254,Marawi,PH,78.01,broken clouds,7.9986,124.2928,Derogongan Residence
255,Acari,PE,77.07,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
256,Kuzhithurai,IN,82.4,mist,8.3167,77.1833,PWD Rest House
257,Dwarka,IN,73.87,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
265,Buala,SB,85.87,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
266,Soyo,AO,79.65,broken clouds,-6.1349,12.3689,Hotel Mpampa
275,Tuy Hoa,VN,74.03,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
281,Isangel,VU,84.2,few clouds,-19.55,169.2667,Volcano Sea View Tree House
283,Areia Branca,BR,82.24,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
289,Rio Grande,BR,71.01,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
290,Lorengau,PG,83.79,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
292,Resistencia,AR,80.01,light rain,-27.4606,-58.9839,Niyat Urban Hotel
296,Palu,ID,79.18,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
297,Bubaque,GW,77.79,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
300,Axim,GH,80.74,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
304,Geraldton,AU,84.2,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
309,San Policarpo,PH,80.58,broken clouds,12.1791,125.5072,JM Lodge
321,Cap Malheureux,MU,77.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
329,Port Macquarie,AU,82.0,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
330,Nova Olinda Do Norte,BR,76.86,moderate rain,-3.8881,-59.0942,Casa Juazeiro
333,Ondjiva,AO,71.98,scattered clouds,-17.0667,15.7333,SOS Motel
337,Maningrida,AU,84.63,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
351,Dubbo,AU,77.0,few clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
354,Santa Rosalia,MX,72.66,overcast clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
356,Acapulco,MX,82.4,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
